Day,Meal,Recipe,Calories,Carbs_g,Sugar_g,Protein_g,RF_Score
Day 1,Breakfast,wisconsin beer batter for fish,478.0,44.0,0.0,43.5,0.6969
Day 1,Lunch,broccoli rice and chicken,482.7,41.2,0.5,58.5,0.7077
Day 1,Dinner,mark bittman s crunchy curried fish,390.6,44.0,0.5,37.5,0.6774
Day 2,Breakfast,crispy fish sticks,448.0,52.2,7.0,37.0,0.6255
Day 2,Lunch,couscous with chicken,469.4,46.8,8.0,45.5,0.6257
Day 2,Dinner,hot roast beef sandwiches   gravy,666.6,44.0,2.5,81.0,0.6513
Day 3,Breakfast,parmesan chicken strips,513.1,41.2,4.0,55.0,0.6701
Day 3,Lunch,himalayan red rice,234.0,46.8,0.0,4.0,0.6151
Day 3,Dinner,seafood paella with artichokes,452.9,38.5,7.5,45.0,0.6291
Day 4,Breakfast,linda s new england fried clams,674.5,41.2,0.5,69.5,0.6636
Day 4,Lunch,pesto artichoke chicken over rice,381.3,52.2,3.0,31.0,0.6484
Day 4,Dinner,loretta lynn s crispy fried chicken,667.5,49.5,0.5,39.5,0.6565
Day 5,Breakfast,captain d s batter dipped fish,430.8,35.8,0.0,51.5,0.6947
Day 5,Lunch,stove top tuna shells and cheese,626.4,52.2,2.5,45.5,0.6585
Day 5,Dinner,cactus chicken fried steak,575.9,33.0,0.0,60.5,0.6555
Day 6,Breakfast,supper on a breadstick,669.3,46.8,2.0,43.5,0.6607
Day 6,Lunch,good eats quick  homemade cottage cheese,442.2,49.5,0.0,38.5,0.6838
Day 6,Dinner,savory crock pot steak,567.0,41.2,3.0,45.5,0.6662
Day 7,Breakfast,deep fried fish in batter  iceland,436.6,44.0,2.5,43.5,0.6809
Day 7,Lunch,chinese buffet black pepper chicken,434.9,35.8,4.5,52.0,0.6553
Day 7,Dinner,crunchy curry chicken,410.3,30.2,0.0,56.5,0.6671
Day 8,Breakfast,phoney abalone,565.1,52.2,0.5,40.5,0.6715
Day 8,Lunch,tilapia piccata for two,665.7,35.8,2.5,51.0,0.6562
Day 8,Dinner,the ultimate chili,470.2,52.2,4.0,35.5,0.6537
Day 9,Breakfast,quinoa crusted chicken fingers,651.1,52.2,0.5,62.5,0.6654
Day 9,Lunch,borracho chicken  crock pot,350.9,35.8,0.5,37.0,0.6568
Day 9,Dinner,southwest cheesy chicken and rice casserole,518.9,52.2,1.0,39.5,0.6678
Day 10,Breakfast,jaylin s gnocchi with marinara and italian sausage  5fix,245.4,41.2,0.0,8.0,0.6
Day 10,Lunch,boston battered fried fish,483.4,49.5,0.5,52.5,0.7022
Day 10,Dinner,lime garlic beef and pepper stir fry,417.7,41.2,4.0,42.0,0.6621
Day 11,Breakfast,canned tuna donburi,571.4,49.5,2.5,57.0,0.6691
Day 11,Lunch,beer battered fish  for fish n chips,435.5,38.5,0.0,46.0,0.6986
Day 11,Dinner,simply slow cooker pot roast,662.7,38.5,7.5,79.5,0.6073
Day 12,Breakfast,perfect fish   chips,542.6,46.8,0.5,52.0,0.6897
Day 12,Lunch,asian chicken noodles with vegetables,493.1,44.0,3.5,47.5,0.6728
Day 12,Dinner,cherry pork chops,509.5,35.8,0.0,41.5,0.6688
Day 13,Breakfast,arthur treacher s fish,382.8,41.2,0.0,37.5,0.6802
Day 13,Lunch,something different chicken,575.7,44.0,0.0,43.0,0.6731
Day 13,Dinner,pepperoni rigatoni bake,653.5,52.2,7.0,38.5,0.6107
Day 14,Breakfast,luby s cafeteria italian chicken breast,527.9,35.8,1.5,48.5,0.6665
Day 14,Lunch,salmon and couscous,591.2,33.0,0.5,72.0,0.6527
Day 14,Dinner,southwest turkey burgers,442.4,30.2,2.5,49.0,0.6463
Day 15,Breakfast,real fried chicken nuggets,424.3,49.5,0.5,30.0,0.6655
Day 15,Lunch,aussie beer batter fish,450.0,44.0,0.0,47.5,0.7016
Day 15,Dinner,nana s arroz con pollo  yellow rice   chicken,654.2,49.5,4.0,36.5,0.6395
Day 16,Breakfast,chicken explosion,537.7,52.2,5.0,48.0,0.6494
